Size_sqft,Bedrooms,Bathrooms,Location,CrimeRate,MarketDemand,HouseAge,SellerType,PreviousListingPrice,Price,FraudFlag
1200,2,1,Urban,6.2,75,10,Owner,180000,200000,No
1800,3,2,Suburban,3.5,80,5,Agent,250000,270000,No
900,1,1,Rural,2.1,45,20,Owner,90000,100000,No
2500,4,3,Urban,7.8,88,3,Developer,350000,390000,No
1400,3,2,Suburban,4.0,70,8,Owner,210000,225000,No
1600,3,2,Urban,6.5,82,6,Agent,240000,260000,No
850,1,1,Rural,1.8,40,25,Owner,80000,95000,No
2200,4,3,Suburban,3.2,85,4,Developer,320000,350000,No
1300,2,2,Urban,7.0,78,12,Owner,190000,215000,Yes
1700,3,2,Suburban,4.3,76,9,Agent,230000,245000,No
1100,2,1,Rural,2.5,50,18,Owner,100000,115000,No
2600,5,3,Urban,8.1,90,2,Developer,370000,420000,No
1450,3,2,Suburban,3.9,72,7,Owner,215000,235000,No
900,2,1,Rural,2.0,42,22,Owner,85000,98000,Yes
1550,3,2,Urban,6.8,80,11,Agent,225000,250000,No
2400,4,3,Suburban,3.6,87,5,Developer,340000,370000,No
1000,2,1,Rural,2.3,48,19,Owner,95000,110000,No
1900,3,2,Urban,7.2,83,6,Agent,260000,290000,No
1250,2,2,Suburban,4.1,68,14,Owner,175000,195000,Yes
2100,4,3,Urban,7.6,85,4,Developer,300000,330000,No
